timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
9273,-1.59,0.67,-0.37,48.71,36.80,6.04
9279,-1.61,0.53,-0.34,18.01,23.19,3.23
9286,-1.43,0.30,-0.12,-12.82,13.49,3.11
9294,-1.22,0.04,-0.06,-35.03,17.76,2.08
9303,-1.11,-0.21,-0.07,-41.87,24.90,2.20
9312,-1.08,-0.32,-0.11,-32.23,26.12,2.01
9321,-1.04,-0.28,-0.12,-12.51,24.35,2.14
9329,-1.00,-0.22,-0.05,5.07,23.32,4.46
9338,-0.98,-0.16,0.02,14.77,24.17,6.84
9346,-1.00,-0.13,0.07,16.60,23.50,6.53
9355,-1.02,-0.11,0.09,12.94,20.26,4.82
9364,-1.02,-0.10,0.12,6.65,15.81,3.54
9373,-1.01,-0.11,0.13,-0.49,11.41,2.69
9381,-1.02,-0.12,0.14,-4.88,6.65,1.71
9390,-1.01,-0.13,0.10,-5.86,1.95,1.16
9398,-1.01,-0.10,0.02,-5.80,0.06,1.28
9407,-0.99,-0.07,-0.10,-5.07,-0.85,2.20
9416,-0.97,-0.06,-0.16,-7.14,-1.16,2.69
9425,-0.98,-0.06,-0.19,-11.47,-0.67,2.44
9434,-0.98,-0.11,-0.19,-15.50,0.49,1.95
9442,-0.98,-0.19,-0.18,-17.82,1.53,1.59
9451,-0.98,-0.23,-0.17,-15.81,2.75,1.10
9459,-0.97,-0.24,-0.15,-8.79,3.78,1.16
9468,-0.96,-0.21,-0.09,-1.53,4.70,1.40
9477,-0.97,-0.14,-0.02,4.09,5.55,1.83
9485,-1.00,-0.07,0.01,5.55,5.00,1.65
9495,-1.02,-0.05,0.00,3.54,2.75,1.04
9503,-1.02,-0.08,-0.02,-1.16,1.04,0.67
9512,-1.02,-0.13,-0.05,-7.20,-0.67,0.24
9521,-1.02,-0.18,-0.07,-11.54,-1.53,-0.37
9529,-1.00,-0.19,-0.09,-11.41,-2.32,-0.92
9538,-0.98,-0.19,-0.09,-8.73,-2.62,-1.16
9547,-0.98,-0.17,-0.10,-6.04,-2.32,-1.28
9556,-0.98,-0.16,-0.11,-4.15,-2.01,-1.34
9564,-0.99,-0.15,-0.11,-2.56,-1.89,-1.40
9572,-0.99,-0.13,-0.10,-2.08,-1.65,-1.46
9582,-0.99,-0.08,-0.11,-1.71,-2.08,-1.04
9590,-0.98,-0.07,-0.13,-0.85,-2.38,-0.12
9599,-0.97,-0.07,-0.17,-3.23,-1.34,0.18
9608,-0.96,-0.06,-0.17,-7.63,-0.79,-0.18
9616,-0.96,-0.09,-0.15,-9.89,0.31,-0.49
9625,-0.97,-0.13,-0.14,-10.93,1.89,-0.37
9634,-0.97,-0.16,-0.12,-11.54,2.99,-0.18
9642,-0.97,-0.16,-0.11,-10.80,3.42,-0.24
9651,-0.99,-0.18,-0.08,-9.40,3.48,-0.31
9660,-0.99,-0.19,-0.06,-8.06,3.36,-0.55
9668,-0.98,-0.20,-0.05,-6.59,2.75,-0.73
9677,-0.98,-0.21,-0.05,-4.64,2.08,-1.22
9686,-1.00,-0.19,-0.06,-1.22,2.56,-1.59
9695,-1.03,-0.15,-0.06,3.17,2.26,-1.40
9704,-1.02,-0.09,-0.06,7.20,-0.06,-0.49
9712,-1.00,-0.07,-0.08,7.45,-1.10,0.18
9721,-0.98,-0.07,-0.11,4.58,-1.28,-0.24
9729,-0.97,-0.07,-0.14,-0.18,-1.77,-0.85
9738,-0.98,-0.09,-0.13,-2.62,-0.92,-1.16
9747,-1.00,-0.13,-0.12,-2.56,0.55,-0.98
9756,-0.99,-0.16,-0.10,-2.50,1.22,-0.85
9764,-0.97,-0.16,-0.09,-2.26,0.92,-1.10
9773,-0.97,-0.16,-0.08,-1.28,0.79,-1.28
9782,-0.97,-0.18,-0.07,0.06,1.34,-0.92
9790,-0.97,-0.19,-0.07,0.79,1.22,-0.55
9799,-0.97,-0.16,-0.07,2.08,0.98,-0.61
9808,-0.97,-0.12,-0.09,3.17,1.10,-0.85
9816,-0.97,-0.10,-0.11,4.15,1.16,-0.85
9825,-0.99,-0.10,-0.12,3.85,0.92,-0.61
9834,-1.00,-0.10,-0.12,2.44,1.28,-0.98
9842,-0.99,-0.10,-0.12,1.22,1.46,-1.04
9851,-0.97,-0.11,-0.11,0.92,1.53,-0.79
9860,-0.97,-0.12,-0.10,0.06,1.89,-0.79
9869,-0.98,-0.13,-0.10,-0.24,2.20,-0.85
9877,-0.97,-0.14,-0.09,0.00,2.38,-0.67
9886,-0.95,-0.15,-0.09,0.61,2.20,-0.61
9895,-0.96,-0.15,-0.10,1.83,2.26,-0.61
9903,-0.98,-0.14,-0.10,3.05,2.81,-0.73
9912,-0.99,-0.13,-0.09,3.42,3.48,-0.67
9921,-0.99,-0.13,-0.08,3.54,3.60,-0.61
9930,-0.99,-0.12,-0.07,3.17,3.48,-0.73
9938,-0.99,-0.11,-0.07,3.23,2.93,-0.55
9947,-0.99,-0.11,-0.06,3.23,2.69,-0.43
9956,-1.00,-0.11,-0.05,2.08,2.38,-0.31
9964,-1.00,-0.11,-0.04,0.06,1.77,-0.61
9973,-1.00,-0.13,-0.03,-1.10,0.12,-0.98
9982,-1.00,-0.15,-0.03,-2.08,-0.92,-1.40
9991,-1.01,-0.17,-0.03,-2.20,-1.34,-1.59
9999,-1.00,-0.18,-0.02,-2.08,-2.01,-1.83
10008,-1.00,-0.17,-0.01,-1.89,-3.36,-2.26
10017,-1.02,-0.16,0.00,-1.16,-4.46,-2.75
10025,-1.04,-0.16,0.02,-0.73,-5.43,-2.99
10034,-1.05,-0.16,0.03,-0.43,-7.08,-3.30
10043,-1.06,-0.14,0.03,-0.18,-8.97,-3.54
10052,-1.06,-0.13,0.04,0.55,-10.99,-3.66
10060,-1.06,-0.12,0.05,1.46,-13.37,-3.78
10069,-1.09,-0.12,0.07,2.08,-15.75,-4.27
10077,-1.10,-0.10,0.09,2.50,-18.43,-4.39
10086,-1.10,-0.05,0.11,1.40,-21.97,-4.46
10095,-1.13,-0.02,0.13,-1.16,-26.12,-4.39
10104,-1.18,-0.01,0.14,-3.11,-30.58,-4.58
10113,-1.21,-0.01,0.12,-4.21,-35.95,-5.19
10121,-1.21,-0.03,0.09,-6.04,-42.66,-5.98
10130,-1.18,-0.05,0.06,-6.84,-49.44,-6.16
10139,-1.15,-0.05,0.01,-5.43,-54.26,-6.53
10147,-1.14,-0.05,-0.05,-0.49,-56.70,-6.59
10156,-1.14,-0.04,-0.12,6.16,-57.80,-6.23
10165,-1.14,-0.03,-0.19,13.55,-58.17,-5.92
10173,-1.17,-0.01,-0.22,21.48,-58.41,-5.13
10182,-1.22,0.02,-0.23,28.38,-59.20,-4.03
10191,-1.21,0.10,-0.24,33.14,-60.42,-3.30
10199,-1.17,0.21,-0.23,37.05,-61.46,-3.36
10208,-1.14,0.30,-0.21,39.61,-61.95,-5.31
10217,-1.11,0.38,-0.22,36.25,-62.81,-9.16
10225,-1.08,0.42,-0.25,26.73,-63.29,-14.47
10234,-1.04,0.41,-0.28,16.72,-62.07,-19.47
10243,-0.98,0.34,-0.30,9.95,-58.41,-23.01
10251,-0.93,0.29,-0.31,6.47,-52.25,-25.76
10260,-0.88,0.28,-0.31,2.75,-47.79,-29.60
10269,-0.84,0.28,-0.33,-1.65,-45.47,-34.30
10278,-0.80,0.28,-0.36,-0.73,-42.54,-37.78
10286,-0.78,0.27,-0.38,6.04,-37.41,-40.04
10295,-0.75,0.28,-0.38,12.94,-32.04,-42.30
10304,-0.73,0.31,-0.37,18.55,-27.22,-45.10
10313,-0.71,0.32,-0.38,24.84,-22.58,-47.49
10321,-0.69,0.29,-0.39,29.11,-18.68,-49.07
10330,-0.67,0.28,-0.41,30.94,-14.89,-50.05
10339,-0.67,0.29,-0.42,30.88,-10.44,-52.00
10347,-0.67,0.28,-0.43,30.82,-5.68,-54.26
10356,-0.67,0.27,-0.44,30.21,-1.77,-56.09
10365,-0.66,0.26,-0.42,28.75,2.87,-57.31
10374,-0.65,0.23,-0.40,26.49,7.69,-57.98
10382,-0.64,0.20,-0.40,23.62,12.39,-58.17
10391,-0.63,0.17,-0.41,20.32,16.60,-58.35
10400,-0.62,0.13,-0.42,17.76,19.71,-58.72
10408,-0.60,0.09,-0.42,17.09,22.64,-58.41
10417,-0.59,0.05,-0.40,17.40,26.25,-57.13
10426,-0.59,0.03,-0.37,17.94,29.91,-55.18
10434,-0.58,0.00,-0.34,18.74,32.84,-52.25
10443,-0.55,-0.02,-0.30,18.92,35.10,-49.01
10452,-0.53,-0.02,-0.29,20.39,37.60,-45.65
10460,-0.57,-0.04,-0.25,23.25,40.22,-42.18
10469,-0.62,-0.12,-0.26,26.55,43.33,-38.51
10478,-0.67,-0.12,-0.28,26.43,48.46,-36.50
10487,-0.72,-0.06,-0.29,26.67,55.36,-34.06
10495,-0.78,-0.07,-0.27,27.77,57.37,-31.07
10504,-0.81,-0.12,-0.35,27.16,51.64,-31.56
10513,-0.82,-0.15,-0.44,16.60,44.01,-35.58
10521,-0.81,-0.18,-0.41,-1.53,36.93,-38.94
10530,-0.85,-0.15,-0.61,-19.71,25.63,-39.18
10539,-1.07,-0.14,-0.60,-43.21,-4.94,-39.37
10548,-1.12,-0.03,0.14,-73.85,-43.95,-35.89
10556,-1.28,-0.63,0.48,-76.66,-33.57,-12.88
10565,-1.55,-1.83,0.21,-118.16,-28.38,16.11
10574,-2.14,-1.99,-0.18,-151.31,-34.30,17.09
10582,-2.59,-1.93,0.38,-65.67,-31.92,25.63
10591,-2.27,-0.45,0.72,11.05,-39.37,32.29
10600,-2.19,1.56,0.28,68.54,-40.95,6.29
10609,-2.02,2.37,-0.25,92.77,-38.82,-12.51
10617,-1.14,1.52,-0.81,39.61,-61.58,-10.86
10626,-0.30,0.48,-1.22,-29.66,-71.72,9.89
10635,-0.14,-0.21,-1.25,-60.91,-50.23,15.01
10643,-0.36,-0.61,-1.21,-56.40,-23.38,8.67
10652,-0.60,-0.80,-1.20,-38.15,-2.38,2.44
10661,-0.80,-0.75,-1.08,-12.21,15.32,0.73
10669,-0.94,-0.46,-0.95,13.73,31.62,1.77
10678,-0.99,-0.09,-0.83,32.59,43.70,3.11
10687,-1.01,0.20,-0.64,41.32,53.41,2.26
10695,-1.06,0.35,-0.52,41.38,62.13,1.28
10704,-1.10,0.33,-0.39,33.63,67.57,0.55
10713,-1.14,0.22,-0.27,24.66,72.14,0.43
10721,-1.20,0.11,-0.18,19.47,75.62,0.12
10730,-1.24,0.00,-0.07,19.96,77.58,-0.12
10739,-1.28,-0.10,0.01,25.76,78.12,0.24
10748,-1.24,-0.11,0.07,33.39,76.97,0.85
10756,-1.15,-0.07,0.11,41.50,75.07,1.53
10765,-1.09,-0.06,0.13,46.20,73.55,3.05
10774,-1.06,-0.06,0.09,45.17,70.74,5.13
10783,-0.99,-0.08,0.09,38.82,63.96,5.86
10791,-0.95,-0.09,0.10,29.42,53.65,5.25
10800,-0.94,-0.10,0.07,20.63,44.07,5.07
10809,-0.94,-0.18,0.07,15.63,35.46,7.93
10817,-0.95,-0.26,0.07,11.84,25.94,12.15
10826,-0.94,-0.30,-0.00,10.62,17.09,15.69
10835,-0.96,-0.27,-0.07,9.16,9.83,17.70
10843,-0.98,-0.22,-0.10,6.29,1.10,19.23
10852,-0.98,-0.15,-0.16,3.23,-10.86,20.32
10861,-1.01,-0.03,-0.27,1.46,-22.64,20.39
10869,-1.04,0.07,-0.33,2.81,-33.14,20.26
10878,-1.01,0.10,-0.31,3.60,-44.19,21.24
10887,-0.93,0.04,-0.26,2.75,-51.51,24.41
10895,-0.87,-0.10,-0.23,7.81,-52.12,31.25
10904,-0.82,-0.17,-0.28,16.78,-50.78,36.62
10913,-0.74,-0.12,-0.35,21.12,-50.72,36.74
10922,-0.69,-0.04,-0.39,18.80,-48.22,35.64
10931,-0.69,0.04,-0.38,15.93,-42.24,36.56
10939,-0.72,0.09,-0.37,16.60,-35.10,38.57
10948,-0.77,0.12,-0.35,16.97,-28.93,40.28
10957,-0.82,0.13,-0.31,12.02,-25.15,41.56
10965,-0.84,0.13,-0.27,4.94,-21.00,43.33
10974,-0.86,0.11,-0.24,-2.69,-15.38,45.17
10983,-0.89,0.11,-0.23,-11.90,-9.52,46.33
10992,-0.90,0.12,-0.24,-19.96,-5.37,46.81
11000,-0.92,0.12,-0.25,-25.63,-2.87,46.81
11009,-0.92,0.12,-0.25,-30.33,-0.73,47.00
11018,-0.89,0.11,-0.25,-32.84,1.22,48.46
11026,-0.85,0.12,-0.23,-31.31,4.94,51.03
11035,-0.84,0.16,-0.18,-29.05,10.68,52.49
11044,-0.88,0.22,-0.14,-29.54,18.07,51.51
11052,-0.91,0.30,-0.11,-34.06,24.54,49.38
11061,-0.92,0.37,-0.09,-40.65,28.38,46.33
11070,-0.88,0.43,-0.07,-46.57,29.66,44.25
11079,-0.84,0.45,-0.04,-50.72,30.94,43.70
